State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Iowa,2008,105032,126294,42523,51289,2293076, 4.58 , 1.85 , 5.50 , 2.23 ,11565,15480,5448,7667,60884,18.99,8.94,25.42,12.59
Kansas,2008,108024,125855,42217,50756,2102625, 5.13 , 2.00 , 5.98 , 2.41 ,28006,33389,12328,15130,125665,22.28,9.81,26.57,12.04
Kentucky,2008,163171,220936,86964,108670,3260706, 5.00 , 2.66 , 6.77 , 3.33 ,37504,52725,22067,28418,229814,16.31,9.60,22.94,12.36
Louisiana,2008,227790,333358,115928,154309,3303489, 6.89 , 3.50 , 10.09 , 4.67 ,139036,204420,80283,107273,982611,14.14,8.17,20.80,10.91
Maine,2008,37394,45173,8904,11099,1041695, 3.58 , 0.85 , 4.33 , 1.06 ,471,805,109,226,10553,4.46,1.03,7.63,2.14
Maryland,2008,250179,315901,91991,115315,4292571, 5.82 , 2.14 , 7.35 , 2.68 ,148361,190454,60724,78048,1203208,12.33,5.04,15.82,6.48
Massachusetts,2008,296839,412149,33408,44816,5069241, 5.85 , 0.65 , 8.13 , 0.88 ,71150,99671,8441,11618,292108,24.35,2.88,34.12,3.97
Michigan,2008,301210,444834,116761,165499,7609643, 3.95 , 1.53 , 5.84 , 2.17 ,71368,135667,55268,80840,991908,7.19,5.57,13.67,8.14
Minnesota,2008,270962,330842,46059,55465,3970566, 6.82 , 1.16 , 8.33 , 1.39 ,33681,44610,10778,14020,177740,18.94,6.06,25.09,7.88
Mississippi,2008,117246,166355,51762,74516,2173328, 5.39 , 2.38 , 7.65 , 3.42 ,68735,99354,29650,45189,760833,9.03,3.89,13.05,5.93
Missouri,2008,283058,391020,119743,149929,4490072, 6.30 , 2.66 , 8.70 , 3.33 ,82485,116456,37470,49632,466470,17.68,8.03,24.96,10.63
Montana,2008,37040,50419,13245,16852,745238, 4.97 , 1.77 , 6.76 , 2.26 ,425,660,179,283,4106,10.35,4.37,16.08,6.90
Nebraska,2008,54895,65630,17465,21985,1336899, 4.10 , 1.30 , 4.90 , 1.64 ,8750,10785,3762,4961,58563,14.94,6.42,18.41,8.47
Nevada,2008,74242,100479,39412,52155,1932144, 3.84 , 2.03 , 5.20 , 2.69 ,19490,26707,10027,13691,159586,12.21,6.28,16.73,8.57
New Hamp,2008,31314,39105,9272,12176,1023045, 3.06 , 0.90 , 3.82 , 1.19 ,2395,2790,613,783,12071,19.84,5.08,23.11,6.49
New Jersey,2008,423793,530613,132417,158370,6635753, 6.38 , 1.99 , 7.99 , 2.38 ,214600,267485,72893,88803,865784,24.78,8.41,30.89,10.25
New Mexico,2008,87789,117363,30482,36884,1482618, 5.92 , 2.05 , 7.91 , 2.48 ,8370,10228,3266,3805,37116,22.55,8.79,27.55,10.25
New York,2008,457049,633914,240485,300832,15081497, 3.03 , 1.59 , 4.20 , 1.99 ,224022,298503,140073,171144,2415636,9.27,5.79,12.35,7.08
North Carolina,2008,318109,401222,132302,171784,6982283, 4.55 , 1.89 , 5.74 , 2.46 ,158138,201076,70165,92772,1427617,11.07,4.91,14.08,6.49
North Dakota,2008,21580,26574,6665,8117,500115, 4.31 , 1.33 , 5.31 , 1.62 ,600,824,223,309,5841,10.28,3.82,14.12,5.29
Ohio,2008,542061,685926,229218,280904,8754106, 6.19 , 2.61 , 7.83 , 3.20 ,227345,283952,105641,130376,960351,23.67,11.00,29.56,13.57
Oklahoma,2008,207338,261414,71229,97093,2736224, 7.57 , 2.60 , 9.55 , 3.54 ,49877,64433,20322,28340,209858,23.76,9.68,30.70,13.50
Oregon,2008,127855,193467,47448,61615,2922583, 4.37 , 1.62 , 6.61 , 2.10 ,8969,14041,4966,6342,59304,15.12,8.37,23.67,10.69
Pennsylvania,2008,283201,469113,108318,158465,9684253, 2.92 , 1.11 , 4.84 , 1.63 ,71674,144359,38308,63076,924566,7.75,4.14,15.61,6.82
Rhode Island,2008,49828,72814,11247,15292,822287, 6.05 , 1.36 , 8.85 , 1.85 ,11428,16389,2854,4005,48421,23.60,5.89,33.84,8.27
South Carolina,2008,167610,220154,82616,106942,3412732, 4.91 , 2.42 , 6.45 , 3.13 ,91359,122347,47237,63123,916874,9.96,5.15,13.34,6.88
South Dakota,2008,40245,50782,16498,19840,606436, 6.63 , 2.72 , 8.37 , 3.27 ,647,1041,594,804,7248,8.92,8.20,14.37,11.10
Tennessee,2008,257654,345745,105287,132515,4735987, 5.44 , 2.22 , 7.30 , 2.79 ,109928,146950,47667,60596,725240,15.15,6.57,20.26,8.35
Texas,2008,1287814,1829000,460164,632670,17600715, 7.31 , 2.61 , 10.39 , 3.59 ,374596,521706,166617,230983,2117007,17.69,7.87,24.64,10.91
Utah,2008,58514,77726,25419,31965,1886191, 3.10 , 1.34 , 4.12 , 1.69 ,2607,3663,1428,1873,21346,12.21,6.69,17.16,8.77
Vermont,2008,28515,34197,13603,15719,492271, 5.79 , 2.76 , 6.94 , 3.19 ,567,898,382,574,5020,11.30,7.62,17.89,11.44
Virginia,2008,326091,425237,102230,140506,5950753, 5.47 , 1.71 , 7.14 , 2.36 ,178556,233288,53873,77608,1126432,15.85,4.78,20.71,6.88
Washington,2008,362217,431572,86746,104672,5006164, 7.23 , 1.73 , 8.62 , 2.09 ,50888,62036,16785,20180,196639,25.87,8.53,31.54,10.26
West Virginia,2008,31624,46476,14539,20598,1429095, 2.21 , 1.01 , 3.25 , 1.44 ,3213,4843,1897,2710,51252,6.27,3.70,9.44,5.28
Wisconsin,2008,156983,224446,61806,85186,4316355, 3.63 , 1.43 , 5.19 , 1.97 ,44700,68059,24050,34306,217408,20.56,11.06,31.30,15.77
Wyoming,2008,18391,24499,6244,8328,404700, 4.54 , 1.54 , 6.05 , 2.05 ,545,751,245,352,4322,12.61,5.68,17.38,8.15
Alabama,2007,171535,252335,81301,109906,3503201, 4.89 , 2.32 , 7.20 , 3.13 ,90840,133463,42939,60030,865791,10.49,4.95,15.41,6.93
Alaska,2007,31075,42114,18525,21597,502359, 6.18 , 3.68 , 8.38 , 4.29 ,2983,4058,2035,2352,19824,15.04,10.26,20.47,11.86
Arizona,2007,289488,382342,78492,113982,4668200, 6.20 , 1.68 , 8.19 , 2.44 ,32882,42857,12806,17487,185360,17.73,6.90,23.12,9.43
Arkansas,2007,97250,161528,58618,72928,2133305, 4.55 , 2.74 , 7.57 , 3.41 ,34946,58998,23139,29622,306227,11.41,7.55,19.26,9.67
California,2007,1957643,2513125,962972,1135828,27169594, 7.20 , 3.54 , 9.24 , 4.18 ,555793,719409,264915,314805,1883489,29.50,14.06,38.19,16.71
Colorado,2007,193110,243542,57054,79895,3669376, 5.26 , 1.55 , 6.63 , 2.17 ,26963,35027,11216,15686,154957,17.40,7.23,22.60,10.12
Connecticut,2007,214367,261807,51528,65925,2683259, 7.98 , 1.92 , 9.75 , 2.45 ,67173,82968,22819,28973,263100,25.53,8.67,31.53,11.01
Delaware,2007,44226,56813,13346,20267,659132, 6.70 , 2.02 , 8.61 , 3.07 ,21243,27869,6979,11113,132543,16.02,5.26,21.02,8.38
